Parameter,Object,Object timestamp,Writable,Writable timestamp,Value,Value type,Value timestamp,Notification,Notification timestamp,Access list,Access list timestamp
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.Layer2Interface,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.LeaseTimeRemaining,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.MACAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"8E:50:2F:0B:AC:F2",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.UserClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.111.VendorClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.Active,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.AddressSource,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.ClientID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.HostName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"Redmi-Note-12-Pro",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.IPAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"192.168.101.10",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.InterfaceType,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"802.11",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.Layer2Interface,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.LeaseTimeRemaining,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.MACAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"D6:8E:85:E9:C4:26",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.UserClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.14.VendorClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.Active,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.AddressSource,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.ClientID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.HostName,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"unknown",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.IPAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"192.168.101.7",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.InterfaceType,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"802.11",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.Layer2Interface,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.LeaseTimeRemaining,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.MACAddress,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"02:C3:60:0E:F9:8F",xsd:string,2026-02-23T03:45:53.862Z,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.UserClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.20.VendorClassID,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9,true,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
InternetGatewayDevice.LANDevice.1.Hosts.Host.9.Active,false,2026-02-23T03:45:53.834Z,false,2026-02-23T03:45:53.834Z,"",,,,,,
